Feature,Duration,ATE,Type
High Gain Antenna Azimuth(Deg),55,0.0,IBS_N
High Gain Antenna elevation(Deg),55,0.0,IBS_N
Radial Distance from Sun(AU),60,0.1436920260268757,IBS_N
Electronic Box Temperature(DegC),60,0.4128167462736842,IBS_N
Solar Wind Analyser temperature(DegC),60,0.0,IBS_N
Out Board Sensor Temperature(Deg C),60,-0.5659212478493172,IBS_N
In Board Sensor Temperature(Deg C),60,0.5281752399525135,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),60,0.0,IBS_N
Heater Dutycycle,60,-0.028395117302658,IBS_N
Search Coil Magnetometer's Temperature(Deg C),60,0.0938442275675875,IBS_N
Solar Array's Angle(Deg),60,0.0,IBS_N
High Gain Antenna Azimuth(Deg),60,0.0,IBS_N
High Gain Antenna elevation(Deg),60,0.0,IBS_N
Radial Distance from Sun(AU),65,0.0119446184248408,IBS_N
Electronic Box Temperature(DegC),65,0.1338900295834099,IBS_N
Solar Wind Analyser temperature(DegC),65,0.0,IBS_N
Out Board Sensor Temperature(Deg C),65,-0.8029151924623015,IBS_N
In Board Sensor Temperature(Deg C),65,0.4165784469312595,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),65,0.0,IBS_N
Heater Dutycycle,65,-0.0333342802066274,IBS_N
Search Coil Magnetometer's Temperature(Deg C),65,0.016301450412211,IBS_N
Solar Array's Angle(Deg),65,0.0,IBS_N
High Gain Antenna Azimuth(Deg),65,0.0,IBS_N
High Gain Antenna elevation(Deg),65,0.0,IBS_N
Radial Distance from Sun(AU),70,-0.0777144348401283,IBS_N
Electronic Box Temperature(DegC),70,0.5175772862347761,IBS_N
Solar Wind Analyser temperature(DegC),70,0.0,IBS_N
Out Board Sensor Temperature(Deg C),70,-1.0294669160624417,IBS_N
In Board Sensor Temperature(Deg C),70,0.4412882573961267,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),70,0.0,IBS_N
Heater Dutycycle,70,-0.007687367503062,IBS_N
Search Coil Magnetometer's Temperature(Deg C),70,-0.2292871683820588,IBS_N
Solar Array's Angle(Deg),70,0.0,IBS_N
High Gain Antenna Azimuth(Deg),70,0.0,IBS_N
High Gain Antenna elevation(Deg),70,0.0,IBS_N
Radial Distance from Sun(AU),75,-0.0941057582148282,IBS_N
Electronic Box Temperature(DegC),75,0.2700829819934285,IBS_N
